Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 148;R$ 4.800.000;404;5;5-8;6
Rua 135;R$ 835.000;88;2;2;1
Rua 145;R$ 1.100.000;132;3;5;0
Rua 1121;R$ 1.290.000;245;4;4;3
Rua 139;R$ 2.000.000;190;3;5;4
Rua 30;R$ 2.357.000;207;3;5;3
Rua 1128;R$ 1.600.000;167;3;4;3
Rua 146;R$ 1.184.750;98;2;2;0
Rua 135;R$ 951.081;63;1;2;1
Rua 135;R$ 1.269.000;122;3;3;2
Rua 1141;R$ 1.950.000;228;3;5;3
Rua 147;R$ 1.380.000;115;3;2;2
Rua 146;R$ 1.100.000;67;2;2;1
Rua 13;R$ 2.550.000;249;4;5;3
;R$ 2.670.617;210;4;6;3
;R$ 3.500.000;349;4;5;4
;R$ 1.672.340;162;3;5;2
Rua 145;R$ 1.130.000;130;3;3;2
Rua 139;R$ 2.100.000;190;3;4;4
Rua 146;R$ 1.597.000;160;3;5;2
Avenida 136;R$ 441.759;49;1;1;0
Rua 27;R$ 1.300.000;158;3;4;3
Rua 1141;R$ 5.000.000;405;5;6;4
Rua 135;R$ 1.890.000;180;3;5;3
;R$ 1.050.000;106;3;2;2
Rua 1126;R$ 3.854.000;250;4;6;4
Avenida 85;R$ 880.000;80;2;3;1
Rua 32;R$ 2.900.000;260-263;4;6;3
Rua 1141;R$ 2.700.000;227;4;5;3
Rua 146;R$ 1.800.000;160;4;4;2
Rua 1128;R$ 1.600.000;166;3;4;3
Rua 146;R$ 768.000;161;3;4;2
Avenida 136;R$ 823.000;74;2;3;1
Rua 34-A;R$ 2.299.999;206-210;3-4;3-6;2-4
Rua 32;R$ 2.780.000;260;4;5;4
Avenida T 8;R$ 1.790.000;160;3;3;3
Rua 145;R$ 380.000;32;1;1;0
Rua 38;R$ 1.600.000;130;3;3-4;2
Rua 30;R$ 1.799.999;150;3;5;2
Rua 135;R$ 1.350.000;121;3;3;2
Rua 135;R$ 545.000;49-53;1;1;1
Rua 1141;R$ 1.840.000;198;4;6;3
Rua 30;R$ 2.800.000;311;4;6;3
Rua 1123;R$ 1.600.000;127;3;4;2
Rua 38;R$ 2.840.283;226;3;4;3
Avenida Americano do Brasil;R$ 2.200.000;208;3;4-5;3
Rua 38;R$ 1.499.000;136;3;1;2
;R$ 3.472.000;211;3;5;3
;R$ 2.162.200;157;3;3-5;2
Rua 24;R$ 1.800.000;157;3;2;3
Rua 143;R$ 958.000;114;3;4;2
Rua 1128;R$ 1.670.000;167;3;4;3
Rua 146;R$ 2.042.000;170;3;4;3
Rua 13;R$ 3.710.000;269;4;5;3
;R$ 1.050.000;115;3;3;2
Rua 1141;R$ 2.397.000;229;3;4;3
;R$ 698.000;69;2;2;1
Rua 148;R$ 4.300.000;287;4;6;4
Rua Amélia Artiaga Jardim;R$ 3.175.000;260;4;5;4
Rua Amélia Artiaga Jardim;R$ 1.199.990;116;3;5;2
Rua 137-A;R$ 850.000;88;2;2;1
Rua 1128;R$ 795.960;72;2;1;1
Avenida 136;R$ 855.000;73;2;2;1
Rua 138;R$ 2.194.500;217;3;5;3
Rua 1131;R$ 1.290.000;121;3;4;2
Rua 1128;R$ 1.031.250;90;3;3;2
Rua 137-A;R$ 804.906;83-89;2;1-3;1-2
Alameda Ricardo Paranhos;R$ 1.990.000;162;3;5;3
Rua 1141;R$ 2.000.000;190;3;5;2
Rua 137-A;R$ 820.000;87;3;2;1
Rua 13;R$ 2.300.000;207;4;4;3
Rua 24;R$ 1.770.000;157;3;5;3
Rua 1128;R$ 1.643.020;104-121;3;3-5;2-3
Rua 15;R$ 1.401.320;121;2;3;1
Rua 146;R$ 767.000;72-73;2;3;0
Rua 1141;R$ 1.960.000;260;4;6;3
Rua Amélia Artiaga Jardim;R$ 942.729;84;2;3;1
Rua 1141;R$ 2.200.000;198;4;6;3
Rua Mário Bittar;R$ 1.080.000;100;3;4;2
Rua 135;R$ 979.571;100;2;2;1
Rua 15;R$ 295.000;19;1;1;0
Rua 135;R$ 849.000;81;2;3;1
Rua 1141;R$ 2.500.000;227;4;4;3
;R$ 515.641;43;1;1;0
Rua 146;R$ 3.680.000;266-271;4;6;3-4
Rua 1125;R$ 1.390.000;127;3;4;2
Rua 38;R$ 1.600.000;130;3;4;0
Rua 135;R$ 1.599.900;146;3;4;3
Rua Amélia Artiaga Jardim;R$ 990.000;72;2;3;1
Rua 13;R$ 2.820.000;240;4;6;3
Rua 1141;R$ 980.000;111;3;5;2
Rua 1128;R$ 1.600.000;166;3;3;3
Rua 1128;R$ 700.000;80;3;3;1
;R$ 2.500.000;228;4;5;3
;R$ 3.540.000;267;4;6;3
Rua 34-A;R$ 1.998.000;162;3;4;3
Rua 1128;R$ 930.000;81;3;3;1
Rua 1123;R$ 950.000;90;3;2;2
Rua 1126;R$ 3.799.900;244-245;3;4;3
Rua Amélia Artiaga Jardim;R$ 830.000;77;2;1;1
Rua 13;R$ 2.930.000;240;3;4;3
Rua 32;R$ 2.750.000;220;3;3;4
Rua 1141;R$ 1.196.990;121;3;4;2
Rua 32;R$ 2.649.145;260;4;5;3
Avenida T 15;R$ 890.000;100;3;4;2
Rua 1141;R$ 830.000;68;2;3;1
;R$ 2.500.000;224-230;3;2-5;3
Rua 32;R$ 2.750.000;260;4;5;3
Alameda Ricardo Paranhos;R$ 529.000;72;2;3;1
;R$ 2.553.726;215;4;5;4
Rua 135;R$ 883.600;80;2;3;1
Rua 135;R$ 2.349.000;216-217;3-4;4-6;2-3
Rua 1141;R$ 1.600.000;120;3;4;0
Rua Amélia Artiaga Jardim;R$ 2.650.000;265;4;5;4
Avenida D;R$ 510.000;42;1;1;1
Rua 146;R$ 1.490.000;140;3;4;0
Rua 1127;R$ 3.111.000;265-268;4;6;0-4
Rua 1141;R$ 2.000.000;227;3;5;3
Rua 1141;R$ 2.064.000;187;3;3;2
Rua 1128;R$ 1.973.209;162;3;2;2
Rua 24;R$ 1.770.000;160;3;5;3
Rua 1141;R$ 2.490.000;233;4;5;3
Avenida D;R$ 600.000;42;3;2;1
Rua 1121;R$ 1.450.000;150;3;4;3
Rua 135;R$ 3.200.000;278;3;5;3
Rua 1141;R$ 2.000.000;198;3;5;3
Rua 148;R$ 2.899.999;214;3;5;3
;R$ 768.832;71;2;1;1
Rua 1141;R$ 2.290.000;221;4;6;4
Rua 146;R$ 1.490.000;137;3;4;3
Rua 1128;R$ 1.750.000;162;3;4;3
Rua 1141;R$ 2.200.000;228;4;5;3
Rua 138;R$ 1.300.000;130;3;4;0
Avenida Americano do Brasil;R$ 1.990.000;208;3;5;3
Rua 1123;R$ 680.000;69;2;1;1
Rua 24;R$ 1.790.000;160;3;4;3
Rua Mário Bittar;R$ 935.000;99;3;4;2
Rua 15;R$ 1.273.194;121;2;2;2
Rua 1141;R$ 1.150.000;111;2;2;2
Rua 1128;R$ 1.600.000;151;3;5;3
Rua 147;R$ 1.390.000;115;3;4;2
Rua 1138;R$ 1.250.000;120;3;4;2
Rua 1128;R$ 3.400.000;326;4;6;4
Avenida 136;R$ 536.000;49;1;1;0
Rua 1128;R$ 945.000;90;3;1;2
Rua 1141;R$ 2.590.000;221-225;4;1-6;3
Rua 1141;R$ 670.000;75;3;3;1
Rua 143;R$ 982.442;114-115;3;3-4;2
Rua 1128;R$ 660.000;64;1;1;1
Rua 1141;R$ 1.600.000;120;3;4;2
;R$ 870.000;86;3;4;2
Rua 135;R$ 2.200.000;180;3;4;3
Rua 25;R$ 1.550.000;147;3;4;3
Rua 30;R$ 1.800.720;150;3;4;2
Rua 25;R$ 1.560.000;147;3;5;3
;R$ 2.250.000;233;3;6;3
Alameda Coronel Eugênio Jardim;R$ 3.300.000;244-245;3;1-6;3
Rua 148;R$ 4.900.000;404;5;6;6
Alameda Coronel Eugênio Jardim;R$ 3.080.000;245;4;1;3
Rua 1141;R$ 4.719.000;348;4;5;4
Rua 1141;R$ 2.107.000;190;3;2;2
Rua 135;R$ 1.890.000;178;3;5;3
Rua 1126;R$ 4.037.000;244;4;6;4
Rua 1128;R$ 980.000;105;3;4;2
Rua Amélia Artiaga Jardim;R$ 970.000;116;3;3;2
Rua 1141;R$ 1.160.000;111;3;4;2
;R$ 1.890.000;166;3;4;2
;R$ 2.084.338;190;3;5;2
Rua 1128;R$ 1.250.000;116;3;5;2
Rua 1141;R$ 1.990.000;198;4;6;4
Rua 135;R$ 1.970.000;178;3;4;3
Rua 146;R$ 1.267.000;137-138;3;3-4;1-13
Rua 1128;R$ 720.000;72;2;1;1
Rua 148;R$ 2.100.000;207;4;4;3
Rua 1123;R$ 1.264.000;110;3;4;2
Rua 1141;R$ 2.290.000;221;3;5;3
Rua 1141;R$ 1.290.000;110;3;4;2
Rua 1138;R$ 1.340.000;120;3;4;2
Rua 146;R$ 1.350.000;165;3;5;2
Rua 135;R$ 1.890.000;178;3;4;3
Rua 1123;R$ 1.100.000;130;3;1;2
Rua 135;R$ 1.710.000;182;3;4;3
Rua 147;R$ 990.000;115;3;5;2
Alameda Doutor Sebastião Fleury;R$ 6.971.000;411;4;6;4
Rua 1141;R$ 2.550.000;233;4;5;3
Rua 1141;R$ 3.100.000;232;4;5;0
Rua 1141;R$ 1.050.000;111;2;5;2
Rua 1141;R$ 2.600.000;233;4;6;3
Rua 36;R$ 2.831.384;240;3;4;3
Rua 146;R$ 1.350.000;165;3;4;2
Rua 1125;R$ 2.199.000;200-204;4;4-6;2-3
Rua 135;R$ 871.490;77;2;2;1
Rua 24;R$ 1.750.000;161;3;4;3
Rua 144;R$ 183.997;16;1;1;1
Rua 1138;R$ 2.999.000;259;4;6;3
;R$ 3.664.836;244;3;5;3
Rua 1128;R$ 1.650.000;167;3;4;0
;R$ 1.750.000;162;3;4;2
Alameda Ricardo Paranhos;R$ 3.889.190;305;4;5;4
Rua 148;R$ 3.100.000;268;4;6;3-4
Rua 24;R$ 1.890.000;160;3;4;2
;R$ 2.419.000;256;4;6;3
;R$ 3.509.000;266-271;4;5-6;3-4
Rua 24;R$ 700.000;67;2;1;2
Rua 146;R$ 4.622.966;271;4;5;3
Rua 38;R$ 1.330.000;136;3;2;2
Rua 24;R$ 970.000;116;3;4;2
Rua 1123;R$ 929.000;110;3;2;0
Rua 148;R$ 2.100.000;207;3;4;3
Alameda Ricardo Paranhos;R$ 3.240.000;249;4;5;3
Rua 1128;R$ 810.000;80;2;3;2
Rua 1124;R$ 1.950.000;157;3;4;2
Rua T 55;R$ 380.000;28;1;1;1
Rua 135;R$ 1.650.000;159;3;4;2
Rua 13;R$ 3.310.587;249;3;4;3
Rua Mário Bittar;R$ 2.500.000;217-218;4;5-6;3-4
Rua 15;R$ 460.000;45;1;1;1
Rua 1126;R$ 2.700.000;244;4;6;3
Rua 1138;R$ 3.990.000;298;3;5;3
Avenida T 4;R$ 2.000.000;137;2;3;0
Rua 1141;R$ 2.850.000;224;4;4;3
Rua 38;R$ 1.390.000;135;3;3;2
Rua 135;R$ 2.200.000;182;3;4;3
Rua 135;R$ 1.590.000;148;3;4;4
Rua 1141;R$ 2.171.000;186;3;3;2
Rua 1123;R$ 474.000;45;1;1;1
Rua 1141;R$ 2.150.000;229;4;5;3
Rua 1128;R$ 1.749.999;163;3;4;3
Rua 146;R$ 1.933.000;160;3;5;2
Rua 146;R$ 1.550.000;140;3;5;2
Rua 138;R$ 404.900;44;1;1;1
Rua 146;R$ 1.230.000;140;3;5;2
Rua 147;R$ 1.350.000;115;3;5;2
Rua 135;R$ 979.571;102;1;1;1
Rua 148;R$ 2.850.000;218;3;4;3
Rua 146;R$ 1.300.000;137;3;1;2
Rua 28;R$ 1.257.000;114;3;4;2
Rua 148;R$ 4.500.000;264;4;6;0
Avenida Americano do Brasil;R$ 2.475.000;225;4;6;3
Avenida 85;R$ 265.000;76;3;1;1
Rua Mário Bittar;R$ 1.000.000;135;3;5;0
Rua 38;R$ 2.700.000;226;3;5;3
Rua Mário Bittar;R$ 1.080.000;99;3;5;2
Rua 1124;R$ 2.200.000;154;3;5;0
Rua 1139;R$ 2.526.993;256;4;6;3
Rua 1141;R$ 5.000.000;405;4;4;4
Rua 135;R$ 1.490.000;159;3;4;3
Rua 1141;R$ 1.950.000;174;3;4;2
Rua 135;R$ 1.980.000;181;3;4;3
Rua 1128;R$ 1.650.000;167;3;2;2
Rua 1141;R$ 2.350.000;217;3;6;3
Rua 146;R$ 2.550.000;226;4;4;3
Rua 1141;R$ 2.790.000;224;4;6;3
Rua 1141;R$ 2.350.000;256;4;6;3
Rua 30;R$ 2.551.045;215;4;5-6;3
Rua 1125;R$ 4.600.000;306;4;6;5
;R$ 1.650.000;180;3;5;3
Rua 145;R$ 1.490.000;150;3;1;2
Rua 135;R$ 1.390.000;121;3;4;2
Rua Amélia Artiaga Jardim;R$ 1.286.000;115;2;3;2
Rua 135;R$ 1.598.000;159;3;3;2
Rua 1128;R$ 1.150.000;104;3;4;0
Rua 135;R$ 1.980.000;182;3;4;3
Rua 146;R$ 1.219.950;137;3;3;2
Rua 148;R$ 3.289.999;262;4;6;3
Rua 1141;R$ 2.790.000;224;4;1;3
Rua 13;R$ 2.600.000;244;3;4;3
Rua 1141;R$ 1.855.000;172;3;5;2
Rua Mário Bittar;R$ 1.990.000;210;4;5;4
Rua Mário Bittar;R$ 1.609.980;153;3;4;3
Rua 135;R$ 1.790.000;159;3;5;2
;R$ 1.980.958;191;3;4;2
Alameda Coronel Joaquim de Bastos;R$ 3.300.000;244;3;5;3
Rua 146;R$ 3.581.935;270;4;5;2
Rua 146;R$ 1.380.000;96;2;3;1
Rua 1141;R$ 2.021.568;186;3;4;2
Rua 145;R$ 1.300.000;139;3;3;2
Rua Amélia Artiaga Jardim;R$ 1.289.763;114-115;2;3;1-2
Alameda Coronel Eugênio Jardim;R$ 5.200.000;370;4;6;4
Rua 1124;R$ 1.570.000;125;2;3;2
Rua 24;R$ 1.790.000;160;3;3;0
Rua 1141;R$ 2.100.000;228;4;5;3
Rua 135;R$ 1.980.000;200;4;6;3
Rua 38;R$ 1.600.000;129;3;4;2
Alameda Coronel Eugênio Jardim;R$ 3.299.500;244;3;5;3
;R$ 3.550.000;268;4;5;3
Rua 42;R$ 1.350.000;134;3;4;2
Rua 135;R$ 1.350.000;121;3;5;2
Rua 13;R$ 2.360.000;206;4;5;3
;R$ 2.372.579;206;3;4;3
Rua Amélia Artiaga Jardim;R$ 467.210;40;1;1;1
Rua 1124;R$ 1.944.714;157;3;4;2
Rua T 53;R$ 9.330.000;544;5;7;6
;R$ 4.433.939;323;4;6;5
Rua 1141;R$ 942.596;84-86;2;2-3;1
Alameda Ricardo Paranhos;R$ 6.370.000;409-416;4;6;4
Rua 146;R$ 1.560.000;137;3;4;2
Rua 13;R$ 2.649.448;208;3;4;3
Rua 135;R$ 1.980.000;181;3;3;2
Avenida D;R$ 1.277.000;106;3;3;2
Rua 1126;R$ 4.020.280;244;3;6;3
Rua 135;R$ 2.149.000;216;3;5;3
Rua 147;R$ 1.206.386;115;3;4;2
Avenida Americano do Brasil;R$ 2.300.000;203;4;6;3
Rua 135;R$ 1.990.000;178;3;4;3
Rua 1141;R$ 2.250.000;198;4;4;3
Rua 1141;R$ 2.760.000;221;4;6;3
Rua 1122;R$ 3.163.000;250;4;6;3
Avenida Mutirão;R$ 11.900.000;642;4;4;7
Rua 145;R$ 990.000;130;3;3;3
;R$ 1.150.000;96;2;2;1
Rua 146;R$ 1.480.000;140;3;4;2
Rua 1141;R$ 2.200.000;228;4;6;3
Rua Amélia Artiaga Jardim;R$ 1.263.000;122;3;2;2
Rua 147;R$ 1.369.000;115;3;4-5;0
Rua 1125;R$ 2.283.365;197;3;4;2
Rua 1138;R$ 8.000.000;612;5;5-6;6
Rua Amélia Artiaga Jardim;R$ 501.767;48;1;1;1
Rua 135;R$ 1.220.333;108;3;4;2
;R$ 2.550.000;254;4;5;4
Rua 135;R$ 1.990.000;178;3;4-5;3
Rua 1127;R$ 1.890.000;179;3;5;3
Rua 147;R$ 1.380.000;114;3;3;2
Rua 135;R$ 597.000;49;1;1;1
Rua 34-A;R$ 2.809.604;240;4;5;3
Rua 1141;R$ 2.900.000;344;4;5;4
Rua T 55;R$ 380.000;28;1;1;0
Rua 1126;R$ 3.100.000;287;4;5;4
Rua Mário Bittar;R$ 880.000;100;3;4;2
Rua 1141;R$ 2.590.000;225;4;5;3
Rua 1141;R$ 1.290.000;111;3;7;2
Rua 34;R$ 2.100.000;170;3;4;2
Rua 1138;R$ 3.990.000;287;4;6;4
Rua 1141;R$ 2.465.000;254;4;6;3
Rua 146;R$ 1.550.000;158;3;2;0
Rua 34;R$ 4.238.000;355;4;7;4
Rua 1122;R$ 4.249.352;320;4;5;4
Rua 1128;R$ 755.000;70;2;1;1
;R$ 720.000;88;3;2;2
Rua T 53;R$ 7.068.256;393;4;6;4
Rua Mário Bittar;R$ 880.002;100;3;4;2
;R$ 902.020;86;2;3;0
;R$ 1.830.000;150;3;5;2
Rua 148;R$ 4.199.999;320;4;4-7;5-6
Rua Mário Bittar;R$ 2.190.000;210;4;5;4
Rua 138;R$ 2.149.000;218;4;5;3
Avenida D;R$ 550.000;42-43;1;1;1
Rua 1128;R$ 1.050.000;104;3;1;2
;R$ 1.187.000;66;3;4;1
Rua 1141;R$ 2.212.000;190;3;1;2
Rua 137-A;R$ 902.941;87;1;1;1
Alameda Doutor Sebastião Fleury;R$ 2.980.000;265;3;4;0
Rua 1138;R$ 1.400.000;122;3;3;2
Avenida Americano do Brasil;R$ 2.300.000;203;4;5;3
Rua 1128;R$ 1.108.999;96;2;1;1
;R$ 4.050.000;356;4;6;4
Rua 135;R$ 3.180.000;278;3;5;3
Rua 135;R$ 2.350.000;216;3;1;3
Rua 138;R$ 2.187.349;218;4;6;3
Rua 13;R$ 2.456.959;205-211;3;4-5;3
Rua 1141;R$ 3.000.000;333;3;4;4
Rua 1141;R$ 2.000.000;256;4;5;3
Avenida Americano do Brasil;R$ 2.000.000;210;3;4;0
Rua 146;R$ 2.009.970;165;4;5;3
Rua 139;R$ 2.181.338;217;3;4;3
Rua 1128;R$ 1.650.000;163;3;4;2
;R$ 2.397.600;240;4;3;3
Rua 28;R$ 7.296.000;560-561;5;6-8;5
Rua 32;R$ 2.690.000;260;4;5;3
Rua 1141;R$ 2.420.000;260;4;5;3
Rua 1124;R$ 1.490.000;157;3;4-5;2
Rua 1141;R$ 1.890.000;227;4;5;3
Rua 13;R$ 2.790.000;226;3;4;3
Alameda Coronel Eugênio Jardim;R$ 4.138.546;266-365;3;4-5;4
;R$ 2.350.000;216;3;5;3
;R$ 1.570.000;125;4;5;2
Alameda Ricardo Paranhos;R$ 3.650.000;210;3;5;3
Alameda Coronel Eugênio Jardim;R$ 3.420.000;230;3;5;3
Rua 1125;R$ 2.262.000;204;4;6;3
;R$ 2.230.000;185;3;5;3
Rua 146;R$ 1.229.030;137;3;4;2
Rua 135;R$ 2.145.000;216;4;5;3
Rua 145;R$ 1.250.000;165;3;3;2
Rua 146;R$ 1.560.000;138;3;5;2
Rua 13;R$ 2.600.000;244;3;3;2
Rua 34;R$ 1.980.000;175;4;6;3
Rua 138;R$ 2.170.000;217;4;4;3
Alameda Ricardo Paranhos;R$ 3.309.000;272-316;4;5-6;4
Rua 38;R$ 1.200.000;139;3;3;2
Avenida Americano do Brasil;R$ 2.200.000;208;3;5;3
Rua 1126;R$ 3.237.250;243;4;5;3
Rua 147;R$ 1.430.000;115;3;5;2
Rua 13;R$ 2.700.000;226;3;3;3
Rua 34-A;R$ 2.100.000;206;3;5;3
Rua 1128;R$ 1.810.000;149;3;4;3
;R$ 1.950.000;242;4;6;0
Rua 38;R$ 2.999.000;226;4;6;3
Rua 1141;R$ 3.299.080;227;4;6;3
Rua Mário Bittar;R$ 990.000;100;3;5;2
;R$ 3.163.158;259;4;6;0
;R$ 1.950.000;217;3;5;3
;R$ 1.698.980;153;3;4;2
;R$ 430.000;34;1;1;0
Rua T 53;R$ 8.840.000;505;4;6;5-6
Rua 1141;R$ 2.000.000;177;3;5;3
Rua 1141;R$ 2.190.000;256;3;5;4
Rua 36;R$ 4.170.000;326;4;6;4
Rua 1128;R$ 1.990.284;116;3;4;2
Rua 1141;R$ 2.280.000;227;3;4;3
Rua 30;R$ 1.903.000;168;3;5;2
Rua 137-A;R$ 799.990;86-87;3;2;1
;R$ 2.215.626;200;4;6;0
Avenida D;R$ 852.337;79;2;2;1
Rua T 55;R$ 1.150.000;79;2;3;1
Rua 1141;R$ 2.290.000;221;4;5;0
Rua 1141;R$ 2.550.000;233;4;6;3
Rua 135;R$ 860.000;72;2;3;1
Rua 135;R$ 2.700.000;184;3;5;3
Rua 23-A;R$ 335.000;122;3;3;1
Rua 38;R$ 3.380.000;270;4;6;3
Rua Amélia Artiaga Jardim;R$ 1.590.000;116;3;4;2
Rua 1141;R$ 2.290.000;221;4;4;4
Rua 135;R$ 1.390.000;121;3;4;0
Rua 1123;R$ 1.265.000;110;3;1;2
Rua T 53;R$ 695.430;58;2;2;1
Rua 148;R$ 4.520.000;264;4;6;3
Rua 1141;R$ 4.410.000;411;4;5;3
Rua 1141;R$ 1.500.000;122;3;1;2
;R$ 2.080.000;227;4;6;0
Rua 1141;R$ 2.290.000;221;4;5;3
Rua 135;R$ 3.200.000;278;3;4;3
Rua 1141;R$ 3.200.000;256;4;5;3
Rua 13;R$ 3.030.170;270;4;5;4
Rua Mário Bittar;R$ 1.690.000;176;4;6;3
Rua 148;R$ 5.850.000;404;5;6;5-6
;R$ 1.889.567;150;3;5;2
Rua 1132;R$ 4.300.000;326;4;5;4
Rua 1128;R$ 1.870.858;149;3;5;2
Rua 146;R$ 550.000;49;1;1;1
Alameda Ricardo Paranhos;R$ 2.861.348;247;4;5;3
Rua 1128;R$ 1.550.000;167;3;4;2
Rua 1123;R$ 1.335.000;110;3;4;2
Rua 38;R$ 4.235.000;270;4;6;3
Rua 1121;R$ 2.657.000;218;4;6;3
Rua 145;R$ 1.400.000;163;3;5;2
Rua 34-A;R$ 2.199.999;206-210;3-4;3-6;2-4
Rua 1129;R$ 3.974.387;243;4;5;3
Rua 34;R$ 2.050.000;158;2;3;3
Rua 1128;R$ 1.734.255;162;3;4;0
Rua 137;R$ 820.000;86;2;1;1
Rua 36;R$ 2.800.000;266;4;5;3
Rua 1133;R$ 2.200.000;217;4;5;3
Rua 145;R$ 1.500.000;151;3;2;2
Rua 1128;R$ 1.234.440;104;3;3;2
Rua 1126;R$ 2.760.000;259;4;2;3
Rua 146;R$ 4.804.367;269;4;5;3
Rua 146;R$ 3.500.000;270;3;5;3
Alameda Ricardo Paranhos;R$ 3.300.000;265;4;5;4
Rua 138;R$ 1.300.000;130;3;4;2
Rua 32;R$ 2.645.000;260;4;5;3
Rua 148;R$ 4.450.000;320;4;6;5
Rua 13;R$ 4.999.999;324;4;6;5
;R$ 1.435.053;121;3;5;2
Rua 38;R$ 1.150.000;136;3;4;2
Rua 1141;R$ 1.960.000;260;4;4;3
;R$ 2.000.000;227;4;5;3
Rua 42;R$ 1.350.000;135;3;4;2
Rua 30;R$ 3.100.000;234;3;5;3
Rua Mário Bittar;R$ 1.810.770;153;3;4;3
Rua 135;R$ 2.090.000;200;3;5;3
Avenida 136;R$ 1.000.000;251;4;5;3
Rua 145;R$ 400.000;32;1;1;1
;R$ 2.044.772;171;4;4;3
Rua 135;R$ 880.000;76;2;2;1
Rua 1129;R$ 3.956.795;245;4;5;4
Rua 36;R$ 2.805.000;240;4;6;3
Rua 30;R$ 1.772.000;172;3;3;0
Rua 1121;R$ 2.150.000;216;4;5;3
Rua 1124;R$ 1.929.000;154-158;3;4-5;2
Avenida Americano do Brasil;R$ 3.270.000;252;3;4;3
;R$ 426.900;34;1;1;0
Rua 148;R$ 4.000.000;441;4;4;4
Rua 1141;R$ 4.490.000;344;3;4;4
Rua 1123;R$ 950.000;111;3;4;0
Rua 1124;R$ 2.500.000;182;3;4;3
Rua 1145;R$ 3.100.000;244;3;5;3
Rua 13;R$ 2.780.000;311;4;6;3
Rua 36;R$ 1.980.000;162;3;1;3
Rua 1141;R$ 3.100.000;232;4;6;3
Rua 1141;R$ 3.548.516;350;4;6;4
Rua 24;R$ 2.070.000;160;3;5;3
Rua 1127;R$ 4.870.000;352;4;6;4
Alameda Ricardo Paranhos;R$ 7.500.000;415;4;5;4
Rua 9;R$ 4.450.000;326;4;4;4
Rua 1141;R$ 1.180.000;111;3;2;2
Alameda Doutor Sebastião Fleury;R$ 6.000.000;411;4;4;4
Rua 1141;R$ 2.290.000;221;4;6;3
Alameda Coronel Joaquim de Bastos;R$ 3.300.000;244;3;6;3
Rua 1141;R$ 2.419.000;256;4;6;3
Rua 36;R$ 4.170.000;326;4;4;4
;R$ 885.984;87;3;2;1
Rua 13;R$ 2.250.000;201;4;5;3
Rua 13;R$ 2.695.000;226;4;6;3
Rua 146;R$ 950.000;95;3;4;2
;R$ 2.723.642;240;3;4;3
Rua Amélia Artiaga Jardim;R$ 888.167;84-86;3;1-4;1
Rua 135;R$ 2.300.000;217;4;4;3-4
Rua 1141;R$ 4.480.339;349;4;6;4
Alameda Ricardo Paranhos;R$ 4.157.484;340;4;5;4
Rua 1141;R$ 2.000.000;254;4;6;3
Rua 13;R$ 2.150.000;242;3;4;3
Rua 27;R$ 1.530.000;150;3;4;3
Rua 148;R$ 2.350.000;207;4;6;3
Rua 138;R$ 2.170.000;271;4;4;3
Rua 13;R$ 2.290.000;198;4;6;4
Rua 1141;R$ 2.650.000;261;4;5;4
Rua 146;R$ 3.100.000;270;4;5;3
Rua 145;R$ 1.100.000;130;3;4;3
Alameda Doutor Sebastião Fleury;R$ 7.173.300;411;4;6;5
Alameda Ricardo Paranhos;R$ 2.700.000;265;4;6;4
Rua 1124;R$ 1.490.000;157;3;5;2
;R$ 2.350.000;216;3;3;3
;R$ 1.479.000;158;3;4;3
Rua 148;R$ 2.100.000;208;3;4;3
Rua 1128;R$ 1.238.930;104;3;4;2
Rua 1141;R$ 2.077.134;227;3;3;3
Rua 1128;R$ 3.761.535;326;4;6;4
Rua 30;R$ 2.865.000;235-236;3-4;5-6;0-3
Rua 1138;R$ 3.599.000;287;4;5-6;3-4
Rua 1141;R$ 2.968.413;259;4;6;3
Rua 143;R$ 1.100.000;115;3;1;2
Rua 1141;R$ 660.000;68;2;1;1
Rua 138;R$ 1.750.000;215;4;6;3
Rua 1141;R$ 1.100.000;111;3;1;2
Rua 1128;R$ 661.600;64;1;1;1
Alameda Coronel Eugênio Jardim;R$ 5.100.000;359;3;5;4
Avenida Americano do Brasil;R$ 2.200.000;209;3;4;3
;R$ 3.200.000;303;4;6;4
Alameda Doutor Sebastião Fleury;R$ 12.000.000;642;4;6;7
;R$ 2.577.038;235;3;4;3
Alameda Coronel Joaquim de Bastos;R$ 3.300.000;245;3;5;3
Rua 146;R$ 2.568.341;206;3;4;3
Rua 1121;R$ 2.653.875;220;3;4;0
Rua 38;R$ 2.700.000;226;3;4;3
Rua 138;R$ 1.500.000;165;3;4;2
Rua 148;R$ 1.990.000;242;4;1;3
Rua 135;R$ 2.149.000;216;4;6;3
Rua 1128;R$ 1.120.600;96;2;2;1
Rua 143;R$ 990.000;115;3;1;2
Rua 13;R$ 2.895.000;239;4;6;3
Avenida Americano do Brasil;R$ 2.200.000;208;3;5;20
Avenida D;R$ 1.055.000;120;3;1;2
Rua 1141;R$ 2.160.000;263;3;4;2
;R$ 4.414.578;264;4;6;0
Rua 1123;R$ 860.000;89;3;1;2
Rua 32;R$ 6.221.071;523;4;5;4
Rua 36;R$ 2.435.000;206;4;6;3
Rua 1125;R$ 3.370.964;266;3;4;3
Rua 148;R$ 3.400.000;321;4;5;4
;R$ 2.960.000;251;4;5;4
