Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 137;R$ 1.240.000;128;3;5;2
;R$ 1.086.028;125;3;4;2
Rua 1128;R$ 1.600.000;135;3;4;2
Rua 135;R$ 873.774;72;2;3;1
Rua 147;R$ 979.000;115;3;5;2
Rua 146;R$ 1.420.000;128;3;4;2
Rua 146;R$ 710.000;72;2;3;1
Rua T 55;R$ 410.000;34;1;1;1
Rua 146;R$ 1.280.000;127-128;3;5;0-2
Rua 135;R$ 1.290.000;122;3;3;2
Rua 1128;R$ 759.999;70;2;3;1
Avenida D;R$ 880.000;79;2;2;1
Rua T 55;R$ 400.000;34;1;1;1
Rua 146;R$ 1.692.000;141;3;4;2
Rua 1124;R$ 1.090.000;111;2;3;2
Rua 1123;R$ 1.420.000;130;3;4;3
Rua 1141;R$ 515.789;48;1;1;1
Rua Mário Bittar;R$ 880.000;99;3;3;2
Rua 140;R$ 885.985;88;3;4;1
Rua 147;R$ 1.350.000;114;3;3;2
Rua T 53;R$ 450.000;45;1;1;1
Rua 1141;R$ 692.000;71-75;2;1-2;0-1
Rua 1128;R$ 380.000;10;3;4;2
Avenida T 8;R$ 1.080.000;100;4;4;2
Alameda Coronel Joaquim de Bastos;R$ 1.100.000;139;3;5;2
Rua 1126;R$ 2.650.000;244;4;6;4
Rua T 53;R$ 7.490.000;420;5;7;6
Rua 1141;R$ 1.500.000;120;3;4;4
Rua 146;R$ 870.000;95;3;4;2
Rua 1123;R$ 1.390.000;127;3;4;2
Rua 1141;R$ 1.100.000;111;3;5;2
Rua 1128;R$ 1.197.000;104;3;4;2
Rua T 55;R$ 360.000;28;1;1;0
Rua 1124;R$ 1.570.000;125;3;5;2
Rua 140;R$ 684.822;62;2;2;1
Rua 145;R$ 1.300.000;136;3;4;2
Rua 25;R$ 1.599.990;150;3;4;3
Rua 138;R$ 1.190.000;130;3;3;3
Rua 140;R$ 813.102;73;2;2;1
Rua 1128;R$ 770.641;70;2;2;1
Rua 1124;R$ 1.790.000;154;3;4;2
;R$ 1.100.000;127;3;4;2
Rua 28;R$ 725.449;64;2;2;1
Rua 24;R$ 820.000;82;3;3;1
Rua 1128;R$ 1.150.000;116;3;4;2
;R$ 885.000;84-86;2;3;1
Rua 1141;R$ 393.000;38;1;1;0
Rua 138;R$ 450.000;47;1;1;1
Rua 30;R$ 3.200.000;247;3;4;3
Rua 137-A;R$ 799.000;86;2;2-3;1
